JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Elm Avenue/Rabbit Road,21/06/2024,03:48:47,E,S,Light Rain,30,33,Car,False
Elm Avenue/Rabbit Road,21/06/2024,03:56:18,S,W,Light Rain,30,12,Van,False
Elm Avenue/Rabbit Road,21/06/2024,03:54:59,E,S,Light Rain,30,33,Car,False
Elm Avenue/Rabbit Road,21/06/2024,03:21:24,W,N,Light Rain,30,29,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,03:11:01,N,N,Light Rain,30,1,Truck,False
Hanley Highway/Westway,21/06/2024,03:05:40,SW,SW,Light Rain,20,5,Buss,True
Hanley Highway/Westway,21/06/2024,03:52:20,SW,SE,Light Rain,20,24,Car,False
Hanley Highway/Westway,21/06/2024,03:14:30,SW,SW,Light Rain,20,18,Car,True
Hanley Highway/Westway,21/06/2024,03:45:05,NW,SW,Light Rain,20,12,Van,False
Hanley Highway/Westway,21/06/2024,03:41:04,SW,NW,Light Rain,20,19,Car,False
Hanley Highway/Westway,21/06/2024,03:09:10,NE,NE,Light Rain,20,2,Motorcycle,False
Hanley Highway/Westway,21/06/2024,03:25:13,NW,SE,Light Rain,20,10,Van,False
Hanley Highway/Westway,21/06/2024,03:13:37,NW,SE,Light Rain,20,27,Buss,False
Hanley Highway/Westway,21/06/2024,03:21:14,SW,SW,Light Rain,20,23,Van,False
Hanley Highway/Westway,21/06/2024,03:15:14,SW,SW,Light Rain,20,15,Motorcycle,False
Hanley Highway/Westway,21/06/2024,03:36:07,SW,NW,Light Rain,20,13,Motorcycle,False
Hanley Highway/Westway,21/06/2024,03:14:04,SW,SE,Light Rain,20,26,Car,False
Hanley Highway/Westway,21/06/2024,03:41:39,SW,SE,Light Rain,20,2,Van,False
Hanley Highway/Westway,21/06/2024,03:12:51,SE,SE,Light Rain,20,8,Van,False
Hanley Highway/Westway,21/06/2024,03:17:36,NW,NW,Light Rain,20,9,Van,False
Hanley Highway/Westway,21/06/2024,03:14:29,SW,SE,Light Rain,20,5,Bicycle,True
Hanley Highway/Westway,21/06/2024,03:13:33,NE,NE,Light Rain,20,23,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,04:12:48,E,N,Light Rain,30,8,Motorcycle,True
Elm Avenue/Rabbit Road,21/06/2024,04:38:06,N,W,Light Rain,30,5,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,04:07:26,S,S,Light Rain,30,27,Car,False
Elm Avenue/Rabbit Road,21/06/2024,04:27:31,S,S,Light Rain,30,11,Van,True
Elm Avenue/Rabbit Road,21/06/2024,04:29:21,S,E,Light Rain,30,23,Bicycle,False
Elm Avenue/Rabbit Road,21/06/2024,04:19:00,E,S,Light Rain,30,27,Car,False
Elm Avenue/Rabbit Road,21/06/2024,04:08:48,W,W,Light Rain,30,12,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,04:28:59,N,W,Light Rain,30,5,Car,False
Elm Avenue/Rabbit Road,21/06/2024,04:59:36,E,S,Light Rain,30,20,Motorcycle,False
Hanley Highway/Westway,21/06/2024,04:15:45,SW,SE,Light Rain,20,3,Car,False
Hanley Highway/Westway,21/06/2024,04:07:10,SW,SW,Light Rain,20,7,Car,False
Hanley Highway/Westway,21/06/2024,04:32:49,NW,SW,Light Rain,20,25,Truck,False
Hanley Highway/Westway,21/06/2024,04:21:13,NW,NW,Light Rain,20,3,Scooter,True
Hanley Highway/Westway,21/06/2024,04:03:23,SW,NW,Light Rain,20,14,Scooter,True
Hanley Highway/Westway,21/06/2024,04:49:03,SW,SE,Light Rain,20,8,Van,False
Hanley Highway/Westway,21/06/2024,04:22:53,SW,SW,Light Rain,20,4,Car,False
Hanley Highway/Westway,21/06/2024,04:05:36,NW,SE,Light Rain,20,14,Bicycle,True
Hanley Highway/Westway,21/06/2024,04:28:16,SW,SW,Light Rain,20,15,Car,False
Elm Avenue/Rabbit Road,21/06/2024,05:51:28,S,S,Light Rain,30,33,Car,True
Elm Avenue/Rabbit Road,21/06/2024,05:06:37,S,W,Light Rain,30,27,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,05:31:43,N,W,Light Rain,30,15,Car,False
Elm Avenue/Rabbit Road,21/06/2024,05:25:31,E,N,Light Rain,30,4,Car,False
Elm Avenue/Rabbit Road,21/06/2024,05:20:10,N,N,Light Rain,30,23,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,05:57:00,N,N,Light Rain,30,32,Motorcycle,False
Elm Avenue/Rabbit Road,21/06/2024,05:49:00,N,E,Light Rain,30,28,Van,True
Elm Avenue/Rabbit Road,21/06/2024,05:30:26,N,E,Light Rain,30,29,Van,True
Elm Avenue/Rabbit Road,21/06/2024,05:55:20,W,W,Light Rain,30,3,Car,True
Elm Avenue/Rabbit Road,21/06/2024,05:26:35,E,N,Light Rain,30,3,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,05:23:56,S,W,Light Rain,30,22,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,05:48:49,E,N,Light Rain,30,9,Motorcycle,False
Elm Avenue/Rabbit Road,21/06/2024,05:15:40,S,S,Light Rain,30,9,Buss,False
Elm Avenue/Rabbit Road,21/06/2024,05:10:53,S,S,Light Rain,30,8,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,05:21:11,W,W,Light Rain,30,10,Buss,False
Hanley Highway/Westway,21/06/2024,05:24:23,SE,SW,Light Rain,20,17,Motorcycle,False
Hanley Highway/Westway,21/06/2024,05:59:19,NW,NW,Light Rain,20,13,Car,False
Hanley Highway/Westway,21/06/2024,05:54:37,SW,NW,Light Rain,20,23,Buss,True
Hanley Highway/Westway,21/06/2024,05:12:02,NW,SE,Light Rain,20,26,Van,False
Hanley Highway/Westway,21/06/2024,05:50:47,SW,SW,Light Rain,20,19,Car,False
Hanley Highway/Westway,21/06/2024,05:06:01,SW,NW,Light Rain,20,16,Truck,False
Hanley Highway/Westway,21/06/2024,05:53:41,SW,SW,Light Rain,20,10,Scooter,True
Hanley Highway/Westway,21/06/2024,05:32:03,NW,SW,Light Rain,20,5,Bicycle,True
Hanley Highway/Westway,21/06/2024,05:55:04,SW,NW,Light Rain,20,12,Buss,False
Hanley Highway/Westway,21/06/2024,05:01:55,SW,SW,Light Rain,20,9,Bicycle,False
Hanley Highway/Westway,21/06/2024,05:31:32,NW,SW,Light Rain,20,12,Motorcycle,False
Hanley Highway/Westway,21/06/2024,05:45:52,SE,SW,Light Rain,20,4,Motorcycle,False
Hanley Highway/Westway,21/06/2024,05:47:16,NW,SE,Light Rain,20,13,Car,False
Hanley Highway/Westway,21/06/2024,05:46:46,SW,SW,Light Rain,20,1,Car,False
Hanley Highway/Westway,21/06/2024,05:40:58,SW,NW,Light Rain,20,5,Car,True
Hanley Highway/Westway,21/06/2024,05:34:05,NW,SW,Light Rain,20,21,Scooter,True
Hanley Highway/Westway,21/06/2024,05:31:32,SW,NW,Light Rain,20,2,Buss,False
Hanley Highway/Westway,21/06/2024,05:00:51,SW,SE,Light Rain,20,12,Scooter,True
Hanley Highway/Westway,21/06/2024,05:21:40,SW,NW,Light Rain,20,9,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,06:35:24,E,N,Overcast,30,8,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,06:45:13,W,N,Overcast,30,3,Bicycle,False
Elm Avenue/Rabbit Road,21/06/2024,06:47:59,E,E,Overcast,30,22,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,06:07:02,W,N,Overcast,30,29,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,06:17:46,N,N,Overcast,30,3,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,06:19:52,E,E,Overcast,30,23,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,06:27:31,W,N,Overcast,30,29,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,06:16:50,W,N,Overcast,30,23,Van,False
Elm Avenue/Rabbit Road,21/06/2024,06:26:40,N,N,Overcast,30,27,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,06:22:20,N,E,Overcast,30,12,Car,True
Elm Avenue/Rabbit Road,21/06/2024,06:47:25,S,S,Overcast,30,9,Van,False
Elm Avenue/Rabbit Road,21/06/2024,06:58:13,E,N,Overcast,30,11,Buss,False
Elm Avenue/Rabbit Road,21/06/2024,06:19:16,E,E,Overcast,30,26,Van,False
Elm Avenue/Rabbit Road,21/06/2024,06:08:06,N,E,Overcast,30,11,Van,False
Elm Avenue/Rabbit Road,21/06/2024,06:31:59,S,E,Overcast,30,32,Car,True
Elm Avenue/Rabbit Road,21/06/2024,06:17:22,S,W,Overcast,30,27,Bicycle,False
Elm Avenue/Rabbit Road,21/06/2024,06:04:16,N,N,Overcast,30,12,Scooter,True
Hanley Highway/Westway,21/06/2024,06:10:16,SW,SW,Overcast,20,10,Car,True
Hanley Highway/Westway,21/06/2024,06:26:57,SW,SW,Overcast,20,20,Bicycle,False
Hanley Highway/Westway,21/06/2024,06:14:43,SW,SW,Overcast,20,13,Motorcycle,False
Hanley Highway/Westway,21/06/2024,06:40:14,SW,NW,Overcast,20,9,Car,False
Hanley Highway/Westway,21/06/2024,06:18:57,SW,NW,Overcast,20,22,Car,True
Hanley Highway/Westway,21/06/2024,06:19:32,SW,SE,Overcast,20,1,Car,True
Hanley Highway/Westway,21/06/2024,06:48:19,SW,NW,Overcast,20,11,Car,False
Hanley Highway/Westway,21/06/2024,06:26:26,SW,NW,Overcast,20,27,Truck,False
Hanley Highway/Westway,21/06/2024,06:44:25,SW,NW,Overcast,20,8,Car,False
Hanley Highway/Westway,21/06/2024,06:53:52,NW,SW,Overcast,20,15,Scooter,True
Hanley Highway/Westway,21/06/2024,06:58:11,SW,NW,Overcast,20,3,Bicycle,True
Hanley Highway/Westway,21/06/2024,06:37:49,SE,SE,Overcast,20,25,Buss,True
Hanley Highway/Westway,21/06/2024,06:04:38,NW,SE,Overcast,20,2,Car,True
Hanley Highway/Westway,21/06/2024,06:44:04,SW,SE,Overcast,20,18,Bicycle,False
Hanley Highway/Westway,21/06/2024,06:20:35,NW,SW,Overcast,20,20,Car,True
Hanley Highway/Westway,21/06/2024,06:21:19,NW,SE,Overcast,20,15,Bicycle,True
Hanley Highway/Westway,21/06/2024,06:29:24,NW,SW,Overcast,20,8,Truck,False
Hanley Highway/Westway,21/06/2024,06:55:55,SW,NW,Overcast,20,26,Bicycle,False
Hanley Highway/Westway,21/06/2024,06:20:23,SW,NW,Overcast,20,9,Bicycle,False
Hanley Highway/Westway,21/06/2024,06:24:57,SW,SW,Overcast,20,1,Motorcycle,False
Hanley Highway/Westway,21/06/2024,06:14:40,SW,SE,Overcast,20,15,Van,False
Hanley Highway/Westway,21/06/2024,06:47:42,SW,NW,Overcast,20,24,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,07:32:01,W,W,Overcast,30,19,Bicycle,False
Elm Avenue/Rabbit Road,21/06/2024,07:28:09,S,S,Overcast,30,25,Bicycle,False
Elm Avenue/Rabbit Road,21/06/2024,07:09:23,S,S,Overcast,30,1,Car,False
Elm Avenue/Rabbit Road,21/06/2024,07:30:23,N,W,Overcast,30,7,Van,False
Elm Avenue/Rabbit Road,21/06/2024,07:02:28,N,N,Overcast,30,8,Car,False
Elm Avenue/Rabbit Road,21/06/2024,07:52:16,E,S,Overcast,30,6,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,07:12:36,S,E,Overcast,30,7,Car,False
Elm Avenue/Rabbit Road,21/06/2024,07:44:27,N,E,Overcast,30,1,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,07:22:21,W,S,Overcast,30,4,Motorcycle,False
Elm Avenue/Rabbit Road,21/06/2024,07:13:33,E,E,Overcast,30,17,Van,True
Elm Avenue/Rabbit Road,21/06/2024,07:52:15,W,N,Overcast,30,33,Buss,False
Elm Avenue/Rabbit Road,21/06/2024,07:41:50,W,W,Overcast,30,11,Car,True
Elm Avenue/Rabbit Road,21/06/2024,07:30:33,W,N,Overcast,30,17,Van,False
Elm Avenue/Rabbit Road,21/06/2024,07:17:19,W,W,Overcast,30,1,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,07:38:02,E,N,Overcast,30,4,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,07:55:52,N,N,Overcast,30,8,Car,True
Elm Avenue/Rabbit Road,21/06/2024,07:43:21,W,W,Overcast,30,8,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,07:51:31,E,N,Overcast,30,12,Bicycle,False
Elm Avenue/Rabbit Road,21/06/2024,07:13:27,S,E,Overcast,30,34,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,07:03:22,S,E,Overcast,30,32,Car,False
Elm Avenue/Rabbit Road,21/06/2024,07:19:06,W,W,Overcast,30,23,Buss,True
Elm Avenue/Rabbit Road,21/06/2024,07:08:54,S,W,Overcast,30,30,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,07:56:08,W,W,Overcast,30,6,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,07:10:41,S,W,Overcast,30,7,Motorcycle,False
Elm Avenue/Rabbit Road,21/06/2024,07:22:29,S,E,Overcast,30,27,Motorcycle,False
Elm Avenue/Rabbit Road,21/06/2024,07:43:07,W,S,Overcast,30,11,Motorcycle,False
Elm Avenue/Rabbit Road,21/06/2024,07:41:06,N,W,Overcast,30,31,Motorcycle,False
Hanley Highway/Westway,21/06/2024,07:52:25,SW,SW,Overcast,20,1,Truck,False
Hanley Highway/Westway,21/06/2024,07:07:42,SW,SE,Overcast,20,17,Buss,False
Hanley Highway/Westway,21/06/2024,07:04:03,SW,SW,Overcast,20,19,Motorcycle,False
Hanley Highway/Westway,21/06/2024,07:48:09,NW,NW,Overcast,20,27,Truck,False
Hanley Highway/Westway,21/06/2024,07:55:56,SW,SE,Overcast,20,4,Scooter,True
Hanley Highway/Westway,21/06/2024,07:45:18,SW,SW,Overcast,20,23,Scooter,True
Hanley Highway/Westway,21/06/2024,07:35:33,SE,NE,Overcast,20,25,Bicycle,False
Hanley Highway/Westway,21/06/2024,07:54:59,SW,SW,Overcast,20,4,Truck,False
Hanley Highway/Westway,21/06/2024,07:29:58,NE,NE,Overcast,20,15,Bicycle,False
Hanley Highway/Westway,21/06/2024,07:26:45,SW,NW,Overcast,20,19,Buss,False
Hanley Highway/Westway,21/06/2024,07:37:42,SW,SW,Overcast,20,21,Van,False
Hanley Highway/Westway,21/06/2024,07:48:18,SW,SW,Overcast,20,16,Bicycle,True
Hanley Highway/Westway,21/06/2024,07:41:37,SW,NW,Overcast,20,10,Motorcycle,False
Hanley Highway/Westway,21/06/2024,07:56:03,SW,SW,Overcast,20,27,Van,False
Hanley Highway/Westway,21/06/2024,07:52:00,NE,NE,Overcast,20,13,Buss,False
Hanley Highway/Westway,21/06/2024,07:16:05,SE,NE,Overcast,20,18,Bicycle,False
Hanley Highway/Westway,21/06/2024,07:02:22,SW,NW,Overcast,20,15,Truck,False
Hanley Highway/Westway,21/06/2024,07:51:15,SW,SW,Overcast,20,19,Car,False
Hanley Highway/Westway,21/06/2024,07:03:09,SW,NW,Overcast,20,3,Van,False
Hanley Highway/Westway,21/06/2024,07:26:20,SW,SE,Overcast,20,13,Scooter,True
Hanley Highway/Westway,21/06/2024,07:17:44,SW,NW,Overcast,20,22,Scooter,True
Hanley Highway/Westway,21/06/2024,07:03:29,NW,SW,Overcast,20,5,Car,False
Hanley Highway/Westway,21/06/2024,07:10:12,SW,NW,Overcast,20,26,Buss,False
Hanley Highway/Westway,21/06/2024,07:51:19,SE,SW,Overcast,20,2,Van,True
Hanley Highway/Westway,21/06/2024,07:14:48,SW,SE,Overcast,20,6,Van,False
Hanley Highway/Westway,21/06/2024,07:49:04,SE,NE,Overcast,20,20,Truck,False
Hanley Highway/Westway,21/06/2024,07:54:58,NW,SW,Overcast,20,17,Bicycle,True
Hanley Highway/Westway,21/06/2024,07:12:36,SW,SW,Overcast,20,10,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,08:18:48,N,E,Light Rain,30,10,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,08:49:32,E,N,Light Rain,30,22,Car,False
Elm Avenue/Rabbit Road,21/06/2024,08:56:45,N,W,Light Rain,30,1,Car,True
Elm Avenue/Rabbit Road,21/06/2024,08:35:08,N,E,Light Rain,30,20,Car,True
Elm Avenue/Rabbit Road,21/06/2024,08:17:49,W,S,Light Rain,30,29,Bicycle,False
Elm Avenue/Rabbit Road,21/06/2024,08:37:58,S,W,Light Rain,30,9,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,08:26:52,S,S,Light Rain,30,25,Car,False
Elm Avenue/Rabbit Road,21/06/2024,08:37:25,N,N,Light Rain,30,10,Car,False
Elm Avenue/Rabbit Road,21/06/2024,08:02:56,E,N,Light Rain,30,1,Motorcycle,False
Elm Avenue/Rabbit Road,21/06/2024,08:17:39,S,S,Light Rain,30,22,Car,False
Elm Avenue/Rabbit Road,21/06/2024,08:23:25,N,N,Light Rain,30,3,Bicycle,False
Elm Avenue/Rabbit Road,21/06/2024,08:32:23,N,W,Light Rain,30,13,Truck,False
Elm Avenue/Rabbit Road,21/06/2024,08:01:52,S,W,Light Rain,30,33,Motorcycle,False
Elm Avenue/Rabbit Road,21/06/2024,08:46:19,E,S,Light Rain,30,4,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,08:43:19,E,N,Light Rain,30,28,Car,False
Elm Avenue/Rabbit Road,21/06/2024,08:05:32,W,N,Light Rain,30,29,Car,False
Elm Avenue/Rabbit Road,21/06/2024,08:26:12,W,N,Light Rain,30,7,Car,True
Elm Avenue/Rabbit Road,21/06/2024,08:27:26,N,N,Light Rain,30,29,Car,False
Elm Avenue/Rabbit Road,21/06/2024,08:36:25,E,S,Light Rain,30,9,Buss,True
Elm Avenue/Rabbit Road,21/06/2024,08:05:12,S,S,Light Rain,30,26,Bicycle,True
Elm Avenue/Rabbit Road,21/06/2024,08:56:06,W,W,Light Rain,30,13,Scooter,True
Elm Avenue/Rabbit Road,21/06/2024,08:23:32,E,N,Light Rain,30,4,Car,False
Elm Avenue/Rabbit Road,21/06/2024,08:08:55,S,S,Light Rain,30,26,Motorcycle,False
